tatoeba	440811	मैं मोहन के साथ गेंद खेलने जा रहा हूँ।
tatoeba	442991	क्या तुम इसे राज़ रख सकते हो?
tatoeba	443030	एवरेस्ट पर्वत दुनिया का सबसे ऊँचा पर्वत शिखर है।
tatoeba	443031	आप कहाँ बैठना चाहेंगे?
tatoeba	443033	तुम कब लौट कर आओगे?
tatoeba	443034	वह अपने दोस्त के साथ बेंच पर बैठा है।
tatoeba	443036	उसके पास बहुत सारी इतिहास की किताबें हैं।
tatoeba	443037	मेरे पास एक कुत्ता है।
tatoeba	443038	शहर में सबसे अच्छा होटल कौन सा है?
tatoeba	443039	इस सप्ताह कौन सी फ़िल्में लगीं हुईं हैं?
tatoeba	443043	मुझे पियानो बजाना पसंद है।
tatoeba	443044	इंग्लैंड की राजधानी लंदन थेम्स नदी के किनारे है।
tatoeba	443047	तुम्हें इन में से जो भी पसंद है ख़रीद लो, मगर तुम दोनों नहीं ख़रीद सकते।
tatoeba	443049	यह एक किताब है।
tatoeba	443050	यह किताब है।
tatoeba	443052	यह मेरा कुत्ता है।
tatoeba	443053	पर मुझे कबाब पकाना नहीं आता!
tatoeba	443055	मैं नौकरी बदलने की सोच रही हूँ।
tatoeba	443058	मेरे पास ज़्यादा पैसे नहीं हैं।
tatoeba	443059	तुम्हें अपने बोलने पर ज़्यादा ध्यान करना चहिए।
tatoeba	443060	जितना जल्दी उतना अच्छा।
tatoeba	443065	यह जैकेट महंगा नहीं है, बहुत सस्ता है।
tatoeba	443066	मछलियों को तैरना आता है।
tatoeba	443073	क्या मैं कमरा साफ़ कर सकती हूँ?
tatoeba	443077	मेरे ख़याल से विदेशी भाषाएँ बहुत ही दिलचस्प होतीं हैं।
tatoeba	443079	किसान वसन्त के मौसम में बीज बोते हैं।
tatoeba	443081	इस लड़के के जेब में एक सेव है।
tatoeba	443082	हाथ ऊपर करो!
tatoeba	443085	क्या तुम मुझे उड़ना सिखा सकते हो?
tatoeba	443086	क्या तुम मुझे चोरी करना सिखा सकते हो?
tatoeba	443087	क्या तुम मुझे सिखा सकते हो?
tatoeba	443091	उसे टीवी पर टेनिस देखना बहुत पसंद है।
tatoeba	443092	कल बारबरा की गाड़ी चलाने की परीक्षा कैसी गई?
tatoeba	443097	मैं सोच रहा हूँ कि अगले हफ़्ते वैनकूवर जाकर रिश्तेदारों से मिलूँ।
tatoeba	443098	वह पहले की तरह हँसमुख नहीं रहा।
tatoeba	443100	बोलो तुम ऐसा क्यों करना चाहते हो।
tatoeba	443101	कल का मौसम कैसा था?
tatoeba	443102	उसके अलावा बाकी सब इस प्रश्न का उत्तर दे सकते हैं।
tatoeba	443131	कल का मौसम कैसा होगा कहना मुश्किल है।
tatoeba	443146	पिछले कुछ सालों से मौसम बहुत अजीब है।
tatoeba	443154	आप विदेश गए हुए हैं क्या?
tatoeba	443157	मैं पूरी रात रोई।
tatoeba	443158	यह क्या है?
tatoeba	443163	उसके पास बहुत सारा काम है।
tatoeba	443172	माँचोद!
tatoeba	443197	अगर तुम अपने आप पर ऐसी चीज़ें लिखवाते हो जो तुम खुद भी नहीं समझ सकते, तो तुम क्या करोगे अगर तुम्हें अनपेक्षित परिणाम मिलेंगे?
tatoeba	443199	उसे बहुत सारा पैसा मिला।
tatoeba	443205	मेरे ख़याल से वह समझदार इनसान है।
tatoeba	443217	आपका नाम क्या है?
tatoeba	444372	मैं कल नदी किनारे मछलियाँ पकड़ने गया था।
tatoeba	444374	उसने अभी अभी खाना खाया है, वह भूखा कतई नहीं को सकता।
tatoeba	444378	कनाडा जापान से बड़ा है।
tatoeba	444387	मैं फ़ैसला कर चुका हूँ।
tatoeba	446267	उसको एक ही काम से दिलचस्पी है, और वह है पैसा इकट्ठा करना।
tatoeba	446271	खाना खाने के बाद दाँतों को साफ़ करो।
tatoeba	446272	खाना खाने के बाद दाँतों को ब्रश करो।
tatoeba	446276	उसने विस्तृत रूप से अपनी योजना समझाई।
tatoeba	446285	कयोंकि वह पढ़ाई नहीं करता था, उसे स्कूल से निकाल दिया गया।
tatoeba	446298	मैं तुरंत उसके वहाँ गया।
tatoeba	446301	उसने सिगरेट पीना छोड़ने का फ़ैसला किया।
tatoeba	446303	मेरी शादी पाँच साल पहले इसी दिन पर हुई थी।
tatoeba	446308	चोरों ने पैसे ढूँढने के लिए मेज़ की सारी दराज़ें खोल डालीं।
tatoeba	446313	मेरे अंकल क्रिकेट के शौकिया खिलाड़ी हैं।
tatoeba	446314	मेरे मामा क्रिकेट के शौकिया खिलाड़ी हैं।
tatoeba	446316	मेरे चाचा क्रिकेट के शौकिया खिलाड़ी हैं।
tatoeba	446317	मेरे ताऊजी क्रिकेट के शौकिया खिलाड़ी हैं।
tatoeba	446456	यह वह गाँव है जहाँ मेरे पिताजी पैदा हुए थे।
tatoeba	446465	तुम्हे इसे राज़ रखना चहिए था।
tatoeba	446472	वे टैक्स सुधार क़ानून के पक्ष में हैं।
tatoeba	446474	कल मेरा जन्मदिन था।
tatoeba	446475	कल मेरा जन्मदिन है।
tatoeba	446480	कल मेरा जन्मदिन है, और मैं सत्रह साल का हो जाऊँगा।
tatoeba	446481	कल मेरा जन्मदिन है, और मैं सत्रह साल की हो जाऊँगी।
tatoeba	446484	आज मेरी बहन का जन्मदिन है।
tatoeba	446487	आज मेरी दीदी का जन्मदिन है।
tatoeba	446490	आज मेरा सोलहवा जन्मदिन है।
tatoeba	446492	मेरा जन्मदिन आज से एक महीने में है।
tatoeba	446500	उनकी बातचीत लगभग एक घंटे तक चलती रही।
tatoeba	446696	हमने यह गाड़ी दस हज़ार दो सौ रुपए की ख़रीदी है।
tatoeba	446697	आप थोड़ा धीरे बोल सकते हैं क्या?
tatoeba	446702	वह कल क्यों नहीं आया?
tatoeba	446703	वह कल क्यों नहीं आई?
tatoeba	446704	उसकी छोटी बहन बहुत जानीमानी टीवी स्टार है।
tatoeba	446705	उसकी छोटी बहन बहुत प्रसिद्ध टीवी कलाकार है।
tatoeba	446706	लूसी ज़रूर आएगी।
tatoeba	446707	मेरे पास पैसे नहीं है, पर सपना है!
tatoeba	446708	मुझे अभी भी नहीं पता।
tatoeba	446709	यहाँ तैरना बहुत ख़तरनाक है।
tatoeba	446711	तुम क्यों नहीं आए?
tatoeba	446712	वे पर्वत शिखर तक पहुँचने में सफ़ल रहे, पर लौट कर नीचे आने के समय दुर्घटना हो गई।
tatoeba	449288	जो करना है करो, पर इस बात की चर्चा तो हो गी ही।
tatoeba	449289	मेरी एक अटैची ग़ायब है।
tatoeba	449290	मुझे अपनी एक अटैची मिल नहीं रही है।
tatoeba	449291	हो नहीं सकता कि वह मेरी हो, क्योंकि मेरी अभी हस्पताल में है।
tatoeba	449292	चोर अंत में तो पकड़ा ही जाएगा।
tatoeba	449293	क़ानूनों का पालन करना बहुत ज़रूरी है।
tatoeba	449294	अपना कमरा जितना साफ़-सुथरा रख सकते हो रखो।
tatoeba	449295	उन्होंने मांग करी है कि इस किताब की सारी कॉपियाँ नष्ट कर दीं जाएं।
tatoeba	449296	मैं डॉक्टर हूँ।
